biz_date,biz_hour,post_count
20160109,15,18747
20160109,16,17690
20160109,17,11771
20160109,18,6135
20160109,19,2892
20160109,20,1762
20160109,21,1025
20160109,22,632
20160109,23,145
20160110,00,87
20160110,01,11
20160110,02,20
20160110,03,7
20160110,04,17
20160110,05,21
20160110,06,57
20160110,07,656
20160110,08,6549
20160110,09,26795
20160110,10,37321
20160110,11,31612
20160110,12,23303
20160110,13,15979
20160110,14,16291
20160110,15,18909
20160110,16,16745
20160110,17,10208
20160110,18,5009
20160110,19,2456
20160110,20,2114
20160110,21,957
20160110,22,148
20160110,23,57
20160111,00,67
20160111,01,9
20160111,03,3
20160111,05,6
20160111,06,69
20160111,07,489
20160111,08,7803
20160111,09,28469
20160111,10,38327
20160111,11,33062
20160111,12,25712
20160111,13,16974
20160111,14,16243
20160111,15,19079
20160111,16,17193
20160111,17,11182
